date,category,flag,scope,message,driver_number,lap_number
2023-03-18,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 17,,
2023-03-18,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 5,,
2023-03-18,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 8,,
2023-03-18,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 8,,
2023-03-18,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-03-18,CarEvent,,,CAR 21 (DEV) SPUN AND CONTINUED AT TURN 1,21.0,
2023-03-18,CarEvent,,,CAR 14 (ALO) SPUN AND CONTINUED AT TURN 2,14.0,
2023-03-18,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 16,,
2023-03-18,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 15,,
2023-03-18,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 15,,
2023-03-18,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,,
2023-03-18,CarEvent,,,CAR 2 (SAR) SPUN AND CONTINUED AT TURN 23,2.0,
2023-03-18,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-03-18,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 7,,
2023-03-18,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,,
2023-03-18,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-03-18,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 11,,
2023-03-18,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,
2023-03-18,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-03-18,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-03-18,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-03-18,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 4,,
2023-03-18,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 15,,
2023-03-18,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 16,,
2023-03-18,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 4,,
